in s,C1 in V,C2 in V,C3 in V
-1.0904852E-02,1.884287913287E-02,-8.39511868497E-01,3.671666173531E-02
-1.0904668E-02,1.884087756466E-02,-8.39999513654E-01,3.671664160011E-02
-1.0904484E-02,1.884353967224E-02,-8.39661194431E-01,3.671730709063E-02
-1.0904300E-02,1.883880620430E-02,-8.40172166890E-01,3.671516168198E-02
-1.0904116E-02,1.883957072700E-02,-8.39887042483E-01,3.671554527978E-02
-1.0903932E-02,1.883854462373E-02,-8.40426594904E-01,3.671617700985E-02
-1.0903748E-02,1.883686479021E-02,-8.40238884510E-01,3.671399579650E-02
-1.0903564E-02,1.883313786312E-02,-8.39853717433E-01,3.671487924909E-02
-1.0903380E-02,1.883286545359E-02,-8.39735406870E-01,3.671621113816E-02
-1.0903196E-02,1.883867738842E-02,-8.40147419320E-01,3.671801604131E-02
-1.0903012E-02,1.883683759909E-02,-8.39877016796E-01,3.671814240782E-02
-1.0902828E-02,1.883690751580E-02,-8.40202516364E-01,3.671773657003E-02
-1.0902644E-02,1.883703467393E-02,-8.40535233682E-01,3.671582910499E-02
-1.0902460E-02,1.883743645580E-02,-8.39818518097E-01,3.671565105008E-02
-1.0902276E-02,1.883493439950E-02,-8.40171237895E-01,3.671509386307E-02
-1.0902092E-02,1.883487844796E-02,-8.40134858107E-01,3.671412724337E-02
-1.0901908E-02,1.883121259118E-02,-8.40150017710E-01,3.671686133171E-02
-1.0901724E-02,1.882702613323E-02,-8.40068105562E-01,3.671591808355E-02
-1.0901540E-02,1.882353656416E-02,-8.40007909527E-01,3.671604975393E-02
-1.0901356E-02,1.882703863507E-02,-8.39836166659E-01,3.671523960574E-02
-1.0901172E-02,1.882555833974E-02,-8.40508299833E-01,3.671683226513E-02
-1.0900988E-02,1.882562705505E-02,-8.39978463436E-01,3.671840831438E-02
-1.0900804E-02,1.882389333638E-02,-8.40140106110E-01,3.671523813890E-02
-1.0900620E-02,1.882794727761E-02,-8.40173407877E-01,3.671696817769E-02
