in s,C1 in V,C4 in V
-8.1851896E-03,2.091842664922E+01,-3.85848446642E+00
-8.1850064E-03,2.092035678266E+01,-3.81688040108E+00
-8.1848232E-03,2.091593636716E+01,-3.82701393575E+00
-8.1846400E-03,2.092059308248E+01,-3.82666496919E+00
-8.1844568E-03,2.089703112425E+01,-3.83585659913E+00
-8.1842736E-03,2.092874986636E+01,-3.84005675917E+00
-8.1840904E-03,2.090381470094E+01,-3.84420001539E+00
-8.1839072E-03,2.093677931050E+01,-3.87215175326E+00
-8.1837240E-03,2.092236409480E+01,-3.85131549449E+00
-8.1835408E-03,2.093215472115E+01,-3.81032875632E+00
-8.1833576E-03,2.092097811917E+01,-3.87729384131E+00
-8.1831744E-03,2.093440984426E+01,-3.83223007559E+00
-8.1829912E-03,2.091005556336E+01,-3.81954591614E+00
-8.1828080E-03,2.093357625468E+01,-3.83025501980E+00
-8.1826248E-03,2.093044303874E+01,-3.79809305198E+00
-8.1824416E-03,2.094189183371E+01,-3.75352962767E+00
-8.1822584E-03,2.092602309821E+01,-3.80552256140E+00
-8.1820752E-03,2.094745728238E+01,-3.85038287970E+00
-8.1818920E-03,2.091996729890E+01,-3.80309474315E+00
-8.1817088E-03,2.093075910633E+01,-3.81332784784E+00
-8.1815256E-03,2.091810835576E+01,-3.84521611161E+00
-8.1813424E-03,2.092604217635E+01,-3.77661472778E+00
-8.1811592E-03,2.093234092513E+01,-3.82406302853E+00
-8.1809760E-03,2.091444125449E+01,-3.86257939865E+00
-8.1807928E-03,2.092559635224E+01,-3.78497883105E+00
-8.1806096E-03,2.092371999336E+01,-3.82272165627E+00
-8.1804264E-03,2.091686739171E+01,-3.86418950404E+00
-8.1802432E-03,2.092227431064E+01,-3.79758193051E+00
-8.1800600E-03,2.092895733709E+01,-3.81806464759E+00
-8.1798768E-03,2.092617726469E+01,-3.83345809425E+00
-8.1796936E-03,2.092259108139E+01,-3.84056507503E+00
-8.1795104E-03,2.093745662881E+01,-3.81397424391E+00
-8.1793272E-03,2.089049438996E+01,-3.79624555246E+00
-8.1791440E-03,2.091828067372E+01,-3.82999036121E+00
-8.1789608E-03,2.092181216044E+01,-3.82089277157E+00
-8.1787776E-03,2.093357036406E+01,-3.78789669960E+00
-8.1785944E-03,2.092400351124E+01,-3.81550507047E+00
-8.1784112E-03,2.092939824848E+01,-3.80987200080E+00
-8.1782280E-03,2.092502672741E+01,-3.82084359773E+00
-8.1780448E-03,2.092638747817E+01,-3.81320620547E+00
-8.1778616E-03,2.092754187113E+01,-3.86216079243E+00
-8.1776784E-03,2.094743343120E+01,-3.84204956829E+00
-8.1774952E-03,2.091070457412E+01,-3.84463602570E+00
-8.1773120E-03,2.092346328361E+01,-3.77317374698E+00
-8.1771288E-03,2.093787727462E+01,-3.81118825064E+00
-8.1769456E-03,2.092242145030E+01,-3.85372642088E+00
-8.1767624E-03,2.093243045317E+01,-3.83313579843E+00
-8.1765792E-03,2.092566429688E+01,-3.80539173386E+00
-8.1763960E-03,2.092657377994E+01,-3.85919690491E+00
-8.1762128E-03,2.093438078234E+01,-3.79406555914E+00
-8.1760296E-03,2.092698647225E+01,-3.81430544551E+00
-8.1758464E-03,2.093365644155E+01,-3.78345308020E+00
-8.1756632E-03,2.094149855481E+01,-3.88490819498E+00
-8.1754800E-03,2.094583781021E+01,-3.80278302948E+00
-8.1752968E-03,2.093196452180E+01,-3.83189356546E+00
-8.1751136E-03,2.091836060913E+01,-3.82585106310E+00
-8.1749304E-03,2.092194515796E+01,-3.81002977849E+00
-8.1747472E-03,2.094686581803E+01,-3.83043915392E+00
-8.1745640E-03,2.092208676090E+01,-3.78972551445E+00
-8.1743808E-03,2.094203053093E+01,-3.81510357731E+00
-8.1741976E-03,2.092565564955E+01,-3.84465725985E+00
-8.1740144E-03,2.091860130014E+01,-3.84214140833E+00
-8.1738312E-03,2.090534486858E+01,-3.79500156161E+00
-8.1736480E-03,2.093343672859E+01,-3.83511053990E+00
-8.1734648E-03,2.092105076699E+01,-3.80870078118E+00
-8.1732816E-03,2.091824890165E+01,-3.81704603680E+00
-8.1730984E-03,2.093088604560E+01,-3.79661561348E+00
-8.1729152E-03,2.092754884673E+01,-3.77238663970E+00
-8.1727320E-03,2.092873069974E+01,-3.78680114993E+00
-8.1725488E-03,2.091920871338E+01,-3.79799322584E+00
-8.1723656E-03,2.092683617076E+01,-3.80966029954E+00
-8.1721824E-03,2.092431514574E+01,-3.83348613870E+00
-8.1719992E-03,2.091670064772E+01,-3.82743233242E+00
-8.1718160E-03,2.091058977930E+01,-3.87031736211E+00
-8.1716328E-03,2.092659782669E+01,-3.81910300241E+00
-8.1714496E-03,2.091001302054E+01,-3.83257551477E+00
-8.1712664E-03,2.093446002858E+01,-3.87183743189E+00
-8.1710832E-03,2.092493608644E+01,-3.81628844081E+00
-8.1709000E-03,2.093010093136E+01,-3.84594667596E+00
-8.1707168E-03,2.093514886269E+01,-3.85429591299E+00
-8.1705336E-03,2.093331561008E+01,-3.83693844671E+00
-8.1703504E-03,2.092851697518E+01,-3.78115188689E+00
-8.1701672E-03,2.094423249880E+01,-3.84284091308E+00
-8.1699840E-03,2.093130439105E+01,-3.78557615806E+00
-8.1698008E-03,2.092353782667E+01,-3.81411890159E+00
-8.1696176E-03,2.093925870074E+01,-3.80943984385E+00
-8.1694344E-03,2.091223865332E+01,-3.82810128978E+00
-8.1692512E-03,2.091725428639E+01,-3.84167285995E+00
-8.1690680E-03,2.092077682311E+01,-3.82079185112E+00
-8.1688848E-03,2.093746791644E+01,-3.79546569786E+00
-8.1687016E-03,2.092994125610E+01,-3.83227720051E+00
-8.1685184E-03,2.093205131175E+01,-3.80931917937E+00
-8.1683352E-03,2.091899573388E+01,-3.82327109003E+00
-8.1681520E-03,2.093568302741E+01,-3.80737017733E+00
-8.1679688E-03,2.090604253629E+01,-3.80262782457E+00
-8.1677856E-03,2.094090526508E+01,-3.78417890645E+00
-8.1676024E-03,2.095091391871E+01,-3.82393002403E+00
-8.1674192E-03,2.093966980049E+01,-3.78408330618E+00
-8.1672360E-03,2.092944238385E+01,-3.80432951390E+00
-8.1670528E-03,2.093857734980E+01,-3.81726242960E+00
-8.1668696E-03,2.091844424190E+01,-3.83414052087E+00
-8.1666864E-03,2.092856953902E+01,-3.85451926743E+00
-8.1665032E-03,2.093907930939E+01,-3.79066746575E+00
-8.1663200E-03,2.093167914594E+01,-3.84091343624E+00
-8.1661368E-03,2.093928638896E+01,-3.80819048625E+00
-8.1659536E-03,2.093676076321E+01,-3.77311574887E+00
-8.1657704E-03,2.092502461331E+01,-3.82188660917E+00
-8.1655872E-03,2.092858139010E+01,-3.82093823175E+00
-8.1654040E-03,2.092624347242E+01,-3.81541295103E+00
-8.1652208E-03,2.092334593231E+01,-3.80864128130E+00
-8.1650376E-03,2.091923465537E+01,-3.82788366298E+00
-8.1648544E-03,2.093686772561E+01,-3.78554162928E+00
-8.1646712E-03,2.094620246025E+01,-3.81467224690E+00
-8.1644880E-03,2.093751865024E+01,-3.82677299096E+00
-8.1643048E-03,2.092589526953E+01,-3.81543377773E+00
-8.1641216E-03,2.093002894944E+01,-3.82657047487E+00
-8.1639384E-03,2.091309568429E+01,-3.83434209400E+00
-8.1637552E-03,2.095281919515E+01,-3.81969127231E+00
-8.1635720E-03,2.091788199781E+01,-3.84444468548E+00
-8.1633888E-03,2.093689624736E+01,-3.82432889785E+00
-8.1632056E-03,2.093846085066E+01,-3.83869438558E+00
-8.1630224E-03,2.093779568145E+01,-3.84726098166E+00
-8.1628392E-03,2.091678864839E+01,-3.80741513693E+00
-8.1626560E-03,2.095104513740E+01,-3.80936153126E+00
-8.1624728E-03,2.092565630613E+01,-3.80732944361E+00
-8.1622896E-03,2.094160191765E+01,-3.83303303863E+00
-8.1621064E-03,2.091768906502E+01,-3.79536421862E+00
-8.1619232E-03,2.095603568530E+01,-3.79553018031E+00
-8.1617400E-03,2.094765116511E+01,-3.79861724689E+00
-8.1615568E-03,2.092538061136E+01,-3.80880639316E+00
-8.1613736E-03,2.092541280253E+01,-3.81277180170E+00
-8.1611904E-03,2.094298976058E+01,-3.89573098985E+00
-8.1610072E-03,2.093875051992E+01,-3.83289281637E+00
-8.1608240E-03,2.094611285770E+01,-3.78666077633E+00
-8.1606408E-03,2.093723721853E+01,-3.77716367259E+00
-8.1604576E-03,2.094232822819E+01,-3.82849011696E+00
-8.1602744E-03,2.095015188264E+01,-3.80131391468E+00
-8.1600912E-03,2.093040944127E+01,-3.80181355760E+00
-8.1599080E-03,2.094017888470E+01,-3.80814352431E+00
-8.1597248E-03,2.093265097639E+01,-3.80464318334E+00
-8.1595416E-03,2.093501737857E+01,-3.83178507802E+00
-8.1593584E-03,2.094318429058E+01,-3.78156164554E+00
-8.1591752E-03,2.093825944284E+01,-3.82097590375E+00
-8.1589920E-03,2.091070246933E+01,-3.82906925990E+00
-8.1588088E-03,2.093405375773E+01,-3.82319929670E+00
-8.1586256E-03,2.095418669799E+01,-3.81782787046E+00
-8.1584424E-03,2.094037430877E+01,-3.83082259106E+00
-8.1582592E-03,2.095498193106E+01,-3.81262865742E+00
-8.1580760E-03,2.092379019646E+01,-3.84878294901E+00
-8.1578928E-03,2.094406466516E+01,-3.84286719966E+00
-8.1577096E-03,2.094122618487E+01,-3.83513505696E+00
